Age,EdLevel,Gender,YearsCode,YearsCodePro,ComputerSkills,Accessibility,MentalHealth,MainBranch
1,1,1,3,1,6,0,0,1
1,3,0,15,4,14,0,0,1
0,0,0,2,1,14,0,1,1
0,3,0,15,5,11,0,0,0
0,2,0,9,3,18,0,1,1
0,2,1,6,1,17,0,0,1
0,0,0,7,3,11,0,0,1
1,2,0,38,27,9,0,0,1
0,2,0,2,1,8,0,1,1
1,3,1,8,7,9,0,0,1
0,1,0,6,2,8,0,0,0
0,0,2,9,5,15,0,1,1
1,2,0,16,14,29,0,1,1
0,2,0,5,1,17,0,0,1
0,2,0,12,3,19,0,1,1
1,2,1,4,4,5,0,1,1
0,2,0,18,7,10,0,0,1
0,0,0,4,2,17,0,1,1
0,2,0,6,4,9,0,0,1
0,3,0,2,0,20,0,1,1
0,2,0,6,3,4,1,0,1
0,3,0,15,6,24,0,0,1
0,3,0,14,8,36,0,0,1
0,2,0,8,4,5,0,0,1
0,2,0,7,2,6,0,0,1
1,3,0,20,16,10,0,0,1
0,1,0,5,1,6,0,0,1
0,3,0,8,3,12,0,0,1
0,0,0,7,1,10,0,1,1
0,3,0,6,5,17,0,0,1
1,3,0,20,14,26,0,0,0
0,3,0,6,1,13,0,0,1
0,3,0,17,10,15,0,1,1
0,2,0,5,3,11,0,1,1
0,1,0,8,3,14,0,0,1
0,3,0,9,5,4,0,1,1
1,3,0,6,6,4,0,0,0
0,1,0,12,3,13,0,0,1
0,2,0,12,8,19,0,0,1
1,3,0,20,15,17,0,0,1
0,2,0,15,12,15,0,0,1
0,1,0,6,4,27,0,1,1
0,2,0,2,1,14,0,1,1
0,0,2,9,6,11,0,0,0
1,3,0,25,16,14,0,0,1
0,0,2,6,2,6,1,0,0
0,2,0,10,7,11,0,0,1
1,2,0,20,14,21,0,0,1
0,1,0,4,2,9,0,0,1
0,4,0,15,7,12,0,0,0
1,4,0,38,24,6,0,0,1
0,2,0,10,6,8,0,0,1
0,3,0,10,7,21,0,1,1
0,2,0,8,5,4,0,1,1
0,1,0,10,4,23,0,1,1
1,2,0,40,24,17,0,1,1
0,1,0,7,3,19,0,1,1
0,2,0,7,6,5,0,0,1
1,2,0,20,16,12,0,0,0
0,2,0,11,10,6,0,1,1
0,3,0,14,10,13,0,0,1
0,2,0,13,13,21,0,1,1
0,4,0,20,6,7,0,0,1
0,2,0,4,3,17,0,0,1
1,1,0,1,0,0,1,1,0
1,3,1,5,5,8,0,1,1
0,2,0,10,2,11,0,0,1
0,2,0,10,5,15,0,1,1
1,0,0,9,8,8,0,0,1
0,2,0,8,0,15,0,0,1
0,2,0,2,2,11,0,0,1
1,2,0,28,18,9,0,0,1
1,3,0,25,20,24,0,0,1
1,3,0,22,17,2,0,0,1
1,2,0,44,32,8,0,0,0
0,1,0,5,4,5,0,0,1
0,3,0,18,9,20,0,0,1
1,0,0,32,27,27,0,0,1
1,1,0,23,21,8,0,0,1
1,2,0,21,20,26,0,0,1
0,2,0,4,0,5,0,0,1
0,2,0,12,6,5,0,1,1
1,2,0,24,22,6,0,0,1
1,3,0,28,22,34,0,0,1
1,3,0,39,15,3,0,1,0
0,2,0,4,2,13,0,0,1
0,3,0,7,3,3,0,0,1
0,2,0,15,5,17,0,0,1
0,1,0,12,4,26,0,1,1
0,2,1,9,3,8,0,0,1
0,1,0,7,4,12,0,1,1
0,2,0,7,4,16,0,1,1
0,1,0,9,5,12,0,0,1
0,3,1,3,0,11,0,0,1
0,3,0,15,12,18,0,1,1
0,2,0,15,6,18,0,0,1
0,3,0,12,3,10,0,0,1
1,1,0,28,20,8,0,0,1
0,1,0,16,6,6,0,1,1
0,3,0,9,7,13,0,0,1
1,2,0,8,5,4,0,0,1
1,3,0,40,29,21,1,0,1
1,2,0,24,13,6,1,1,1
1,2,0,35,23,25,0,1,1
0,2,0,15,4,5,0,0,1
0,3,0,17,8,28,0,0,1
1,0,0,25,15,39,0,0,1
0,2,0,4,2,16,0,0,1
0,2,0,7,3,24,1,1,1
1,3,0,20,9,9,0,0,1
1,3,0,26,19,22,0,0,1
1,3,0,25,20,10,0,0,1
1,1,0,30,20,7,0,0,1
0,2,0,6,4,12,0,0,1
1,2,0,16,14,19,0,0,1
1,1,1,18,10,6,0,0,1
1,3,2,30,26,13,0,0,1
